@RELATION Falls
@ATTRIBUTE class {Faller,NonFaller}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@DATA
NonFaller,0.000000,0.545674,0.355219,0.063765,0.010176,0.007190,0.004793,0.008389,0.001199,0.001198,0.002397,44.343321,1.981730,0.000000,0.125905,0.253728,0.206858,0.158803,0.091517,0.062113,0.063196,0.020834,0.011364,0.005682,27.155634,1.572641
NonFaller,0.000000,0.211578,0.299575,0.233996,0.107951,0.078242,0.044038,0.008603,0.008898,0.001780,0.005339,6.789300,0.514139,0.000000,0.228676,0.299713,0.219100,0.129168,0.068948,0.025385,0.014505,0.009065,0.001813,0.003626,8.309573,0.571961
NonFaller,0.000000,0.352036,0.350401,0.173213,0.069389,0.033962,0.007245,0.003751,0.005001,0.001250,0.003751,5.850284,0.649575,0.000000,0.123366,0.256058,0.205025,0.180108,0.129416,0.061172,0.030602,0.006020,0.003294,0.004941,8.740462,0.566143
NonFaller,0.000000,0.115258,0.226874,0.208950,0.178248,0.104788,0.085189,0.029956,0.020612,0.020612,0.009513,30.034817,0.924651,0.000000,0.131889,0.251582,0.263044,0.160394,0.095118,0.033956,0.027844,0.018980,0.012115,0.005077,174.954381,2.444849
NonFaller,0.000000,0.294426,0.366456,0.161673,0.091509,0.030042,0.027805,0.016523,0.006609,0.001652,0.003305,1.542314,0.424279,0.000000,0.182265,0.259885,0.163037,0.165248,0.088950,0.055121,0.057417,0.022462,0.005616,0.000000,2.421263,0.432021
NonFaller,0.000000,0.225623,0.339905,0.230220,0.100111,0.059592,0.028020,0.006620,0.004955,0.000000,0.004955,9.992344,1.652347,0.000000,0.134955,0.271499,0.196722,0.165793,0.118814,0.066840,0.023849,0.013180,0.003339,0.005008,54.893358,2.087371
NonFaller,0.000000,0.094079,0.201878,0.169380,0.195847,0.145263,0.098783,0.050748,0.018638,0.013294,0.012089,26.684517,0.634195,0.000000,0.091705,0.221792,0.176648,0.168914,0.121361,0.097339,0.062650,0.030677,0.024784,0.004131,27.683062,0.879264
NonFaller,0.000000,0.298106,0.308109,0.149968,0.103480,0.076124,0.038952,0.010171,0.006780,0.003327,0.004982,3.661901,0.827011,0.000000,0.192776,0.206327,0.173602,0.140202,0.119499,0.052375,0.034346,0.040139,0.022495,0.018240,7.223865,0.751529
NonFaller,0.000000,0.287086,0.375215,0.182433,0.082684,0.035712,0.021845,0.009059,0.001619,0.001371,0.002976,7.048547,0.660614,0.000000,0.130665,0.279451,0.265435,0.186965,0.089859,0.047625,0.000000,0.000000,0.000000,0.000000,7.453638,0.500045
NonFaller,0.000000,0.184359,0.266536,0.204542,0.100500,0.085531,0.072163,0.040105,0.024835,0.009929,0.011502,3.355721,0.616607,0.000000,0.247788,0.288006,0.171425,0.120391,0.074336,0.041301,0.034729,0.005316,0.010692,0.006014,20.143546,1.220851
NonFaller,0.000000,0.168498,0.254494,0.203689,0.155642,0.099597,0.048607,0.033838,0.017796,0.007928,0.009910,19.238578,0.879311,0.000000,0.239121,0.313238,0.205197,0.091453,0.068222,0.034829,0.018960,0.016075,0.008052,0.004854,61.111257,2.767406
NonFaller,0.000000,0.134249,0.306403,0.219437,0.158416,0.084896,0.059071,0.006990,0.012572,0.007185,0.010780,140.087674,0.838126,0.000000,0.192580,0.285713,0.254572,0.137173,0.066991,0.030163,0.017277,0.004712,0.007330,0.003490,67.505785,1.013884
NonFaller,0.000000,0.172964,0.298720,0.228273,0.129452,0.087122,0.037012,0.029996,0.013274,0.003188,0.000000,43.052301,0.574881,0.000000,0.145005,0.280364,0.243501,0.137011,0.083884,0.058255,0.030165,0.011352,0.005037,0.005425,22.633339,0.484167
NonFaller,0.000000,0.061382,0.185895,0.233827,0.149474,0.113909,0.095300,0.071583,0.029856,0.042422,0.016353,11.270880,0.534972,0.000000,0.107249,0.232479,0.218259,0.154930,0.142931,0.066870,0.034257,0.023610,0.016152,0.003263,12.255473,0.832651
NonFaller,0.000000,0.340539,0.379720,0.129540,0.094422,0.032696,0.005795,0.001921,0.003842,0.003842,0.007684,175.338207,1.327538,0.000000,0.210387,0.277995,0.242599,0.140804,0.062471,0.039709,0.012648,0.006693,0.002231,0.004462,26.781808,1.359504
NonFaller,0.000000,0.155293,0.290268,0.212750,0.139933,0.098641,0.034585,0.030659,0.025248,0.007214,0.005410,2.398489,0.538953,0.000000,0.316524,0.353946,0.155712,0.096973,0.030567,0.017669,0.010260,0.007340,0.003670,0.007340,7.457320,0.829791
NonFaller,0.000000,0.279630,0.321601,0.158641,0.115689,0.076666,0.015964,0.013213,0.006199,0.007748,0.004649,5.054014,0.835750,0.000000,0.139223,0.245828,0.225770,0.153584,0.108260,0.056037,0.033272,0.017428,0.014260,0.006338,4.334787,0.749253
NonFaller,0.000000,0.223825,0.411232,0.197450,0.090140,0.049915,0.017694,0.003217,0.003263,0.000000,0.003263,7.937360,1.202925,0.000000,0.164391,0.320892,0.224900,0.129479,0.064310,0.043372,0.013856,0.016628,0.015242,0.006928,6.804356,1.539448
NonFaller,0.001240,0.317984,0.383711,0.195153,0.071388,0.017597,0.000458,0.007577,0.001171,0.001240,0.002481,7.166754,0.840345,0.000000,0.058707,0.215440,0.316098,0.184922,0.101282,0.065067,0.027154,0.020109,0.003206,0.008015,12.563532,0.747825
NonFaller,0.000000,0.111180,0.250259,0.254882,0.165996,0.080434,0.068353,0.036155,0.020669,0.008618,0.003452,12.794418,0.576440,0.000000,0.211932,0.355902,0.188604,0.117166,0.063718,0.024094,0.016324,0.008904,0.004452,0.008904,46.203861,1.790105
NonFaller,0.000000,0.236311,0.305857,0.231685,0.115564,0.062492,0.016117,0.010739,0.008200,0.005793,0.007242,5.904511,0.734061,0.000000,0.311401,0.316700,0.166116,0.112170,0.039362,0.015422,0.021419,0.012842,0.001308,0.003260,17.342538,1.295281
NonFaller,0.000000,0.157248,0.246315,0.223707,0.158299,0.133814,0.046429,0.020478,0.003739,0.001246,0.008725,9.806184,0.583051,0.000000,0.115382,0.276917,0.237289,0.148466,0.100002,0.040285,0.038842,0.021381,0.014841,0.006596,24.271260,0.772045
NonFaller,0.000000,0.081729,0.170234,0.210753,0.157858,0.167712,0.108845,0.040889,0.035681,0.016530,0.009768,6.481347,0.544800,0.000000,0.195488,0.354043,0.187559,0.136177,0.073207,0.030628,0.009295,0.005101,0.006802,0.001700,3.898335,0.674594
NonFaller,0.000000,0.123525,0.263235,0.230810,0.141663,0.117345,0.060697,0.030350,0.022258,0.006071,0.004047,4.431529,0.481088,0.000000,0.221812,0.354869,0.188078,0.109024,0.050618,0.021506,0.021506,0.016836,0.011405,0.004345,5.130909,0.740514
NonFaller,0.000000,0.096290,0.172478,0.186433,0.200115,0.123794,0.111775,0.061236,0.026587,0.010513,0.010780,8.082662,0.411703,0.001484,0.171682,0.249341,0.162750,0.111722,0.091660,0.078380,0.048074,0.028273,0.017278,0.039356,11.832695,0.646632
NonFaller,0.000000,0.148735,0.253864,0.229336,0.168539,0.080526,0.052875,0.031853,0.018674,0.007798,0.007798,4.984456,0.694709,0.000000,0.207088,0.389699,0.240934,0.085857,0.025917,0.028950,0.008106,0.005612,0.002613,0.005225,4.495425,1.007368
NonFaller,0.000000,0.123268,0.327306,0.257495,0.116702,0.084499,0.045310,0.022240,0.011645,0.003147,0.008389,9.614796,0.700365,0.001448,0.203907,0.278988,0.191435,0.127311,0.079451,0.042323,0.046176,0.013032,0.008688,0.007240,8.222685,0.703690
NonFaller,0.000000,0.198451,0.323279,0.223980,0.104411,0.062310,0.048837,0.021892,0.011788,0.001684,0.003368,35.320468,1.030829,0.000000,0.104503,0.238357,0.257591,0.159622,0.093388,0.063595,0.048237,0.014502,0.014021,0.006183,69.411293,1.150145
